ID       faithfulness    informativeness_step informativeness_chain faithfulness_ww repetition_word repetition_step reasoning_alignment external_hallucination redundancy      common_sense_error missing_step    semantic_coverage_step semantic_coverage_chain discourse_representation coherence_step_vs_step perplexity_step perplexity_chain perplexity_step_max grammar_step    grammar_step_max
0        0.7822843641042709 0.7251207571056101 0.891730397939682 0.9330212842212634 0.05679763270461036 0.09853047132492065 0.8381758257746696 0.9340451073247866 0.7758507430553436 0.8297938996805232 0.5645892694592476 0.9908976450562477 0.9517582207918167 0.9837427213788033 0.004594206809997559 0.02303564263706897 0.06298382577163486 0.020157038507749386 0.9608064144849777 0.8644604086875916
1        0.7514626085758209 0.6989303679250541 0.9219489842653275 0.9286646560138586 0.0480821096535885 0.08563777804374695 0.6064372472465038 0.8911839713836602 0.5568443052470684 0.8460538187782037 0.6020827069878578 0.9650708511471748 0.8359926789999008 0.0030947327613830566 0.1790410280227661 0.034300400750244694 0.07363702724575123 0.02796654721625529 0.9824450016021729 0.9769138693809509
2        0.7543594613671303 0.6945938572527901 0.8333441466093063 0.9258901431875409 0.0655330244232627 0.08921849727630615 0.8101784586906433 0.9097890988900708 0.7312522828578949 0.8229361899223738 0.5470463000237942 0.985027144352595 0.9745530486106873 0.03196144104003906 0.9165409207344055 0.02022567956352079 0.06435748035536451 0.01033641150926792 0.9808680713176727 0.9647477269172668
3        0.7644326537847519 0.701674445336985 0.8953516185283661 0.9344020750373602 0.09264613986015324 0.18088945746421814 0.7550045624375343 0.9123066480036193 0.6356065720319748 0.8380109929549705 0.5865563005208969 0.9546200409531593 0.9009099900722504 0.8517345935106277 0.9936933200806379 0.028227908588348918 0.04277915570041325 0.013167743138191088 0.9786687791347504 0.9731007218360901
4        0.801625649134318 0.7303503950169288 0.8712429031729698 0.9352922879341172 0.06221516375188474 0.10480155050754547 0.6319967359304428 0.9170560171703075 0.6207687109708786 0.8178632259401765 0.5340689569711685 0.9010520887871584 0.810822632163763 0.9941840879619122 0.9959494364447892 0.02951123019678739 0.06801958020787847 0.025098289139916588 0.9941163261731466 0.9921342134475708
5        0.8021072000265121 0.7160829408975765 0.8955210447311401 0.9375212232945329 0.08910891172048208 0.1270626038312912 0.7607247978448868 0.9512972368804 0.7314799726009369 0.8153167145330046 0.5196040775626898 0.8842048719525337 0.8513323664665222 0.11203789710998535 0.9903483055531979 0.012502689717822882 0.03426081249426587 0.005296281476863614 0.9939183592796326 0.9938850998878479
6        0.7062007760008177 0.6589386943224604 0.8704804480075836 0.9203837063224589 0.07922631612530462 0.1475401073694229 0.7425221900145212 0.8555494873419799 0.6375102251768112 0.8251140361504646 0.5450887605547905 0.9847682217756907 0.8699484542012215 0.8593768924474716 0.9992865434032865 0.021156451212217618 0.046546824015102094 0.015210104425396963 0.9935460885365804 0.9929266571998596
7        0.8127011954784393 0.7383176468034414 0.9055375903844833 0.9364449064577779 0.05816171712735119 0.09866105020046234 0.789824478328228 0.949066936744281 0.7370682209730148 0.8310972207195911 0.5689103156328201 0.9002235109607378 0.8928150087594986 0.9882784662768245 0.9989100316306576 0.026935785826593676 0.05158238440599275 0.023547027355358897 0.9931698441505432 0.9918648600578308
8        0.7483620444933573 0.6933920140299814 0.8899629712104797 0.930573633313179 0.07981167655242116 0.1424005702137947 0.7026717166105906 0.9077479170177725 0.644200325012207 0.8456262881579073 0.6050907075405121 0.9878950044512749 0.9334858059883118 0.0014312267303466797 0.9974275785498321 0.030488854374810914 0.05666068980807293 0.020900884697286473 0.9923340876897176 0.9901652932167053
9        0.7729743048548698 0.7051055522147314 0.8655181899666786 0.9274501722483408 0.0595199231590543 0.10044291615486145 0.7295810952782631 0.9210339766463145 0.6782813966274261 0.8253760824523093 0.5532878823578358 0.9522828112045923 0.8617351204156876 0.012063443660736084 0.04396313428878784 0.009315159763661525 0.03117270626878472 0.005181488609866986 0.8052581921219826 0.24080964922904968
10       0.7438374012708664 0.6861397046324553 0.8890828788280487 0.9202817626728499 0.04411414596769547 0.03141561150550842 0.8016653805971146 0.9387385440043259 0.7833445966243744 0.8331405038458968 0.5687046051025391 0.9407470176617304 0.9248470515012741 0.6385942995548248 0.00019723176956176758 0.021327624624759026 0.07710276705800102 0.013995604340659778 0.9396157562732697 0.8803109526634216
11       0.8095880001783371 0.7146593237937726 0.8828212916851044 0.9316216137260198 0.08963174847039312 0.1145385205745697 0.8236218690872192 0.9561887788268422 0.7841460108757019 0.8193139165016143 0.5388358496129513 0.9265806544572115 0.9260134100914001 0.9820956513285637 0.9957734714262187 0.04053993914060012 0.06729050137871663 0.02346505368196424 0.9915954172611237 0.9885411262512207
12       0.7574796713888645 0.7066342325314232 0.9157367497682571 0.9269559317827225 0.06341633020025306 0.10044661164283752 0.7497861161828041 0.9134155916303737 0.7082812190055847 0.839603245230025 0.625049352645874 0.9879191350191832 0.8720002770423889 0.996866634581238 0.9921481506898999 0.022300130185270755 0.053344558377846324 0.012558644586933985 0.9903590232133865 0.9866390228271484
13       0.6535323361555735 0.6244409210318564 0.8683138936758041 0.9197965354348222 0.0702177749739753 0.1619967743754387 0.890704408288002 0.9006649327268905 0.6985434144735336 0.9071209356154908 0.7253552377223969 0.995195580025514 0.9615950286388397 0.8495888411998749 0.9633176140487194 0.02356502043876625 0.03744003736546558 0.010656330172258244 0.9789212544759115 0.96882164478302
14       0.784843976298968 0.7473475332034455 0.9350756704807281 0.9369564990634504 0.05992115591023417 0.08091992139816284 0.7643791536490122 0.9065171117280282 0.6788520514965057 0.8186229796717871 0.5762499123811722 0.969930245851477 0.8849755525588989 0.9729769062250853 0.8819420039653778 0.028802575011995367 0.05749965431241482 0.02198478823619414 0.9850031932195028 0.9812940359115601
15       0.8164142817258835 0.7777488839853068 0.9098889529705048 0.9490634381156606 0.05790626389138842 0.10759490728378296 0.7686460390686989 0.9219253674178418 0.6659433245658875 0.8946822174770235 0.7538044154644012 0.931541865070661 0.9486419856548309 0.13261455297470093 0.9921132903546095 0.02061813698277873 0.051053390671045897 0.017916909873754838 0.955537885427475 0.854045033454895
16       0.8228018681208292 0.773258896490586 0.940338984131813 0.9479256065992209 0.053834882047441246 0.06505629420280457 0.7923236091931661 0.9589958294865824 0.7856962978839874 0.8120658529036229 0.5616785176098347 0.918864980340004 0.8638747408986092 0.9681952372193336 0.9986198889091611 0.04971028141967369 0.09691950755061263 0.04154246612060865 0.9889195561408997 0.9776782989501953
17       0.7855549529194832 0.7224142206160509 0.8989411145448685 0.9370790619868785 0.08798100119051722 0.1043701320886612 0.7895570769906044 0.9347594728201905 0.741589143872261 0.8250424722960048 0.5848784446716309 0.8953155763447285 0.8838019669055939 0.13174021244049072 0.9976992721203715 0.013418528221616963 0.02483818584201913 0.007494347674940208 0.9084650576114655 0.8398503661155701
18       0.7368817329406738 0.684198400096699 0.8633978068828583 0.9275127528235316 0.05465969908982515 0.10493877530097961 0.7571412771940231 0.909750915899342 0.6857547461986542 0.7840786212923465 0.4872403256595135 0.990574799478054 0.8518829569220543 0.9861020147800446 0.9945527398958802 0.023418210029570913 0.0450379949323623 0.02120349912363297 0.9940841495990753 0.993755578994751
19       0.7780532389879227 0.7073044121399863 0.8113021813333035 0.9294741932760205 0.06809456375512213 0.1149664968252182 0.8456884771585464 0.9579014210271533 0.8111756145954132 0.7902767720254809 0.5023899015504867 0.9637050082286199 0.9197991341352463 0.9230221956968307 0.7003313302993774 0.010072298021100382 0.01890450660909355 0.006306006365432277 0.9748300611972809 0.9740179777145386
20       0.8157671540975571 0.7500270726684961 0.892317995429039 0.94415825439824 0.06500312796345464 0.10435149073600769 0.8187080174684525 0.943133966186779 0.7468062341213226 0.818450656633763 0.566801518201828 0.9217815827578306 0.890834778547287 0.0027753114700317383 0.1381475329399109 0.01380791434324285 0.047854648384776724 0.006086888240801506 0.9807551801204681 0.957869827747345
21       0.6249705478549004 0.5832191699907614 0.7872815281152725 0.9181501608969715 1.0             1.0             0.7513764500617981 0.9067588462763063 0.7513764500617981 0.8433602567822152 0.6283410340547562 0.9746127650141716 0.8909421563148499 0.39930593967437744 0.9994463503244333 0.0014399023375196685 0.0014399023375196685 0.0014399023375196685 0.6796281933784485 0.6796281933784485
