ID       faithfulness    informativeness_step informativeness_chain faithfulness_ww repetition_word repetition_step reasoning_alignment external_hallucination redundancy      common_sense_error missing_step    semantic_coverage_step semantic_coverage_chain discourse_representation coherence_step_vs_step perplexity_step perplexity_chain perplexity_step_max grammar_step    grammar_step_max
0        0.7487507507205009 0.7166040550076191 0.9086388796567917 0.9304702688736477 0.04912228716744316 0.0758504718542099 0.8309000313282013 0.9412409926150991 0.7639889419078827 0.9391034341775235 0.80770543217659 0.9793516173958778 0.9423943012952805 0.004677712917327881 0.9868497531861067 0.008538603754421115 0.04832174514758468 0.0014075010859265146 0.6792400777339935 0.34510329365730286
1        0.6936912139256796 0.6572388385682898 0.9027292281389236 0.9325554878229186 0.058636751439836265 0.15811410546302795 0.7637220074733099 0.9002552128978778 0.6222648024559021 0.9331484561083532 0.6689011603593826 0.9795801565051079 0.8886644542217255 0.9672812148928642 0.9880585325881839 0.022358683106740565 0.047788542168998686 0.011845302335430768 0.9833014210065206 0.9684762358665466
2        0.7322322602073351 0.6751975177046192 0.8199145495891571 0.9308514688909054 0.0684554401566001 0.14877508580684662 0.8450211385885874 0.9412409926150991 0.7552773952484131 0.9391034341775235 0.8173404335975647 0.9991504475474358 0.9847633391618729 0.6619572937488556 0.996463323244825 0.006235426844041617 0.023791936326580977 0.0014074990724815006 0.8834551374117533 0.6638116836547852
3        0.7531766332685947 0.7101275752779217 0.8926103711128235 0.9321495956475181 0.05175036462870508 0.07257908582687378 0.8750091095765432 0.945587375198669 0.8257205188274384 0.9430110593766667 0.8623991906642914 0.9584236927330494 0.9619656801223755 0.002950727939605713 0.9880949342623353 0.010006518842201733 0.05906655873143867 0.0014075017570754924 0.9306362171967825 0.663812518119812
4        0.8030974715948105 0.7428460490686455 0.8835645318031311 0.9405144071578979 0.06677515432238579 0.11529217660427094 0.7732909843325615 0.9333596020753099 0.6895530521869659 0.8868697506252747 0.7239538431167603 0.890123076736927 0.8871163725852966 0.010736644268035889 0.996905792504549 0.016908606643321476 0.04691273413806009 0.010469899724010048 0.8295977562665939 0.4876639246940613
5        0.7584935414294401 0.7263433886584879 0.9029462337493896 0.9306386101439044 0.06480220198631281 0.08959315717220306 0.7494746918479601 0.9087663744826395 0.6829640567302704 0.865156892176324 0.6255424171686172 0.9018243358780941 0.8729448467493057 0.7705246806144714 0.9732879959046841 0.01105448251810067 0.060166797640028025 0.0036109098248811684 0.8631091316541036 0.2218552827835083
6        0.6660988032817841 0.6249464430094258 0.8748017251491547 0.9177392248226248 0.13070846100648248 0.2404794543981552 0.8720965534448624 0.9502038425796684 0.8701196312904358 0.9395632610921165 0.8552984297275543 0.9886589621504148 0.94916632771492 0.2857060432434082 0.9979043579660356 0.008853754460070135 0.037674236826835864 0.0014074990724815006 0.8283975124359131 0.6638116836547852
7        0.7925692033022642 0.7367366508784137 0.9156732559204102 0.9301579139128173 0.06939619448449874 0.06337812542915344 0.7861353084445 0.9044793854092599 0.7118947505950928 0.8964868844299585 0.7476272881031036 0.9129031344006459 0.9240115284919739 0.8217080235481262 0.996060669887811 0.02370377683321139 0.07004018284128542 0.0036109098248811684 0.7968087643384933 0.2218552827835083
8        0.8065266907215118 0.7397289615739318 0.871562547981739 0.9466150064881032 0.08518380308762574 0.1318858042359352 0.7500549182295799 0.9524556416983749 0.706531748175621 0.8176817775517 0.5551300831139088 0.9234255999326706 0.9336487948894501 0.9939092476852238 0.9790020771324635 0.031940480824103945 0.05710267531722372 0.02113389586070784 0.9585379660129547 0.9231268763542175
9        0.7782851060231527 0.71516150661705 0.8540122658014297 0.9342625126815759 0.06618401159842813 0.0565871000289917 0.7303998619318008 0.9176739479189342 0.6913977563381195 0.8735274956288008 0.6913977563381195 0.9406672169764836 0.8584448918700218 0.9584554396569729 0.99732531956397 0.029600372576618746 0.06729046929211283 0.018660009119695915 0.9179429014523824 0.7682293057441711
10       0.8051205463707447 0.7472975096728617 0.8934085071086884 0.9439780528310442 0.05895517495545477 0.10969211161136627 0.7808556221425533 0.9528526624467459 0.7105828076601028 0.8717693377064051 0.6685517132282257 0.8918195031583309 0.9627494961023331 0.003937900066375732 0.9973152754828334 0.026476608751935006 0.05551188683568466 0.018471366219788003 0.9780379831790924 0.9382774829864502
