ID       faithfulness    informativeness_step informativeness_chain faithfulness_ww repetition_word repetition_step reasoning_alignment external_hallucination redundancy      common_sense_error missing_step    semantic_coverage_step semantic_coverage_chain discourse_representation coherence_step_vs_step perplexity_step perplexity_chain perplexity_step_max grammar_step    grammar_step_max
0        0.7647358421236277 0.7244500848314455 0.8965559154748917 0.9372842173854058 0.056509030716759834 0.09458202123641968 0.8942636922001839 0.9556849794337818 0.8012105524539948 0.949842123579538 0.793592631816864 0.9915538329631091 0.9483150243759155 0.47456711530685425 0.9921314967796206 0.0167488612487282 0.05046787684277404 0.005681565819087103 0.9820317178964615 0.9585664868354797
1        0.7516292383273443 0.7005920221237967 0.8706637620925903 0.9268385233357549 0.06048275806285719 0.1154421716928482 0.63402226070563 0.8716303197943833 0.594695046544075 0.8689830004495633 0.6460220962762833 0.9649042213956515 0.8217809423804283 0.8418612629175186 0.9679618366062641 0.019582473667733104 0.057982596084045185 0.012594386384307137 0.9713211059570312 0.9367331862449646
2        0.671305413544178 0.6395785821661835 0.8327646851539612 0.9253257964737713 0.0354258034910474 0.11883153021335602 0.7983591228723526 0.8460343408628785 0.5766489058732986 0.9557418889953517 0.7414175122976303 0.9319188078244528 0.9895128160715103 0.0008152127265930176 0.11499810218811035 0.005016809210736021 0.03966962435677011 0.0005232079820269092 0.9554927706718445 0.8693533539772034
3        0.8035030886530876 0.7394840863623446 0.9024511277675629 0.9421156037312287 0.04530016581217444 0.08813095092773438 0.859167218208313 0.9677444595249023 0.8283317983150482 0.8393955315983196 0.5900900512933731 0.9155496060848236 0.9352134764194489 0.9405224919319153 0.9971411728765815 0.029684601277709985 0.06791141694473725 0.014252940730297918 0.9800312370061874 0.9397909641265869
4        0.8209626115858555 0.7433990297046886 0.8656331077218056 0.9350030571222305 0.04907229940096536 0.07234108448028564 0.7124604284763336 0.9113318807226598 0.6692254543304443 0.8706971566055781 0.6692254543304443 0.8817151263356209 0.8465804383158684 0.010736644268035889 0.9748520385473967 0.01865579813132422 0.057393548818915105 0.009906832945975766 0.9057141691446304 0.789214551448822
5        0.7338650487363338 0.6974318939496645 0.8771117031574249 0.9382589693839957 0.03898118138313289 0.1071995347738266 0.7857778519392014 0.921965264494581 0.7769875228404999 0.9167681369439968 0.7817580699920654 0.952447023242712 0.9356796890497208 0.8575346022844315 0.993491014931351 0.011290514487422925 0.037508011050254114 0.00585038534288791 0.9731154143810272 0.9199168086051941
6        0.7156322672963142 0.6564288492857788 0.8541061878204346 0.9196962350979447 0.07984679937362671 0.08275240659713745 0.8633129447698593 0.9571676987519631 0.847582221031189 0.8945233678648892 0.7256354689598083 0.9753367304801941 0.9297369718551636 0.888237364590168 0.9988840116420761 0.014217526010939707 0.03671039330057586 0.008235539708812327 0.9880038797855377 0.9837365746498108
7        0.8308737476666769 0.7535523117958814 0.9183873683214188 0.9327559510002965 0.06037953089584003 0.09535087645053864 0.7848285188277563 0.9528729145220174 0.701036348938942 0.8405401758281601 0.5930115208029747 0.8820509587725003 0.9028993099927902 0.026803553104400635 0.9969958029687405 0.020610851161484648 0.052390566609796844 0.01373849149891664 0.9862263600031534 0.9736244678497314
8        0.8796046003699303 0.7832006720048421 0.8818499743938446 0.943966984978089 0.06218259882282562 0.07632051408290863 0.7362013980746269 0.945899513878345 0.6638218909502029 0.8625939433845654 0.6484963148832321 0.8566524485747019 0.9268915802240372 0.6333546042442322 0.944670557975769 0.02487918221794099 0.05866476180759918 0.017777665869090218 0.9769123941659927 0.9295755624771118
9        0.7287634462118149 0.6860260845577906 0.8625301644206047 0.9382087186626766 0.15124281992514932 0.17063933610916138 0.6953094974160194 0.890230568324549 0.6449814289808273 0.8253639533411258 0.5532568544149399 0.9964936698476473 0.8638241663575172 0.9672615341842175 0.9974395749159157 0.012894410277197548 0.0491268977052393 0.003053334299947105 0.9941108822822571 0.9940962791442871
10       0.7660814374685287 0.7100160828185746 0.9039276391267776 0.9360517892986536 0.07795103092988331 0.1052241325378418 0.7681731432676315 0.9277434372305828 0.7327794134616852 0.896617740510798 0.7016260623931885 0.9185029814640681 0.9642661809921265 0.8553334176540375 0.9988723110873252 0.027878648315055914 0.044483432010330524 0.014452664488823234 0.9862926006317139 0.9812419414520264
11       0.6811109222471714 0.6244825539749921 0.8522425517439842 0.8932066842010526 0.15681782033708358 0.24932371254544705 0.9344136416912079 0.9677349226185967 0.868827223777771 0.9358226573811819 0.7287086099386215 0.9449422676116228 0.9411416947841644 0.9893253436312079 0.9985064504435286 0.021839159389755648 0.03312346352009153 0.01108914456635729 0.9834198653697968 0.9743727445602417
12       0.8115328264733156 0.783201183448883 0.9383523911237717 0.9416868581264107 0.06234943977108709 0.0758141428232193 0.8102168838183085 0.9508538100217176 0.712733119726181 0.9361211276176782 0.7301591485738754 0.9338659799347321 0.9483524560928345 0.017204582691192627 0.013612627983093262 0.01792586828165931 0.0714660251180419 0.005285428067454986 0.9720828930536906 0.8917039632797241
13       0.7418600072463354 0.6793889871467769 0.8719018250703812 0.9275552764152869 0.04997901419798534 0.10368391871452332 0.820944552620252 0.9310570439999144 0.7233475893735886 0.833712548536438 0.6112789958715439 0.9068679089347521 0.9383636862039566 0.993074610363692 0.9624998532235622 0.022542003208095435 0.06695001231488544 0.01498945299726776 0.9606829086939493 0.9137746095657349
14       0.7679722433288892 0.7569114568413815 0.9226560592651367 0.9466041251385616 0.06656257782952257 0.07211397588253021 0.8894975880781809 0.969334387745036 0.8309800326824188 0.9484262403908019 0.7669491767883301 0.9868019788215557 0.9488674253225327 0.9577311500906944 0.9976424586493522 0.03920164839399621 0.06129312749721657 0.014142212283205996 0.9854088425636292 0.9762206077575684
15       0.7558780908584595 0.7229906220353493 0.8834068030118942 0.9388229011119097 0.04580845059575256 0.09227080643177032 0.815296083688736 0.9149695087874461 0.7727167308330536 0.9027725458261644 0.7727167308330536 0.992078055938085 0.9378672987222672 0.03354811668395996 0.9868772914633155 0.011665694032119436 0.06202410426117029 0.0018435706348703114 0.9695208072662354 0.9234931468963623
