ID       faithfulness    informativeness_step informativeness_chain faithfulness_ww repetition_word repetition_step reasoning_alignment external_hallucination redundancy      common_sense_error missing_step    semantic_coverage_step semantic_coverage_chain discourse_representation coherence_step_vs_step perplexity_step perplexity_chain perplexity_step_max grammar_step    grammar_step_max
0        0.7676892634481192 0.7910543894395232 0.9605234116315842 0.9074648835252379 0.06251043984384252 0.06292864680290222 0.906434677541256 0.9669424706905438 0.8376769721508026 0.9830124618946314 0.8794801235198975 0.9704811852425337 0.9638185054063797 0.011848032474517822 0.8640315234661102 0.0019139201355611068 0.020851430626831046 9.481163072669465e-05 0.8198793977499008 0.7036799192428589
1        0.7332397451003393 0.7805952082077663 0.9503753632307053 0.9041200395869581 0.033687420866706175 0.03363335132598877 0.9152945876121521 0.978004452958487 0.8575501441955566 0.9693283733228242 0.8575501441955566 0.9886198143164316 0.949075847864151 0.19932329654693604 0.05238109827041626 0.002528176931380554 0.04474234597933002 0.00012600500632457693 0.9276838699976603 0.909186065196991
2        0.7748864907771349 0.7786301029846072 0.9414366483688354 0.9116475691569262 0.03510848385222409 0.03233514726161957 0.9199942946434021 0.9758058819786981 0.8824003338813782 0.9742770487839465 0.8811773061752319 0.9945230554789305 0.9821177124977112 0.3608986735343933 0.0016121864318847656 0.003045754572752143 0.06851791675932357 0.00010752236766193138 0.8802262991666794 0.5912970900535583
3        0.7928703725337982 0.8316638022661209 0.9508442878723145 0.9039224723111028 0.057390925288200334 0.05082176625728607 0.9541386862595876 0.9897680037529426 0.9142608642578125 0.9849095621252673 0.9142608642578125 0.9701633552710215 0.9733631312847137 0.009025394916534424 0.007967352867126465 0.00021155971504713974 0.01022197245312783 1.79010073156694e-05 0.8511837323506674 0.6973231434822083
4        0.7978931168715159 0.8286216785510381 0.967169925570488 0.9175542163706961 0.060520621708461175 0.059363335371017456 0.8605807721614838 0.9220071710824342 0.8103728890419006 0.9355476010895227 0.8103728890419006 0.9868068397045135 0.96963170170784 0.03353321552276611 0.24471509456634521 0.0009078827686171603 0.03567327323549641 3.8172283103802973e-05 0.8615763783454895 0.6697344779968262
5        0.8074140859146913 0.8060128061721723 0.9636007100343704 0.90598265120565 0.05038984775543209 0.07165457308292389 0.8881167074044546 0.9682825995815314 0.8259547352790833 0.9812991450685651 0.8719927966594696 0.9798347043494384 0.9617183804512024 0.003243863582611084 0.0005317330360412598 0.0016623217479292002 0.07314821781950646 5.551894948468584e-05 0.9277260502179464 0.725441038608551
6        0.8327239632606507 0.8698984523614248 0.9686957746744156 0.9110786303093559 0.029382157538618392 0.03149290382862091 0.9614323079586029 0.9859702549833358 0.8653422892093658 0.993591466462135 0.9641263484954834 0.9841438725590705 0.9963613599538803 0.036941349506378174 0.0018799901008605957 0.00045761169058733853 0.058201248832424 2.633989193493696e-05 0.8906692147254944 0.6139318943023682
7        0.749159561470151 0.7609950071200728 0.9273334294557571 0.9050526688947822 0.049787316856713115 0.03719612956047058 0.9428756758570671 0.983182570826111 0.9133404195308685 0.9439963356135168 0.7796712219715118 0.9961795713752508 0.9605274647474289 0.01542586088180542 0.005815684795379639 0.0007977340675438508 0.04158147842701941 3.229210606846289e-05 0.8674428164958954 0.7755322456359863
8        0.8040771867547717 0.8169686166303498 0.945073202252388 0.9146685793900945 0.013787545263767242 0.022513046860694885 0.8878224449498313 0.9182346605178937 0.7886955440044403 0.9294814652337453 0.7886955440044403 0.9921012512807336 0.9615311026573181 0.007374823093414307 0.0024924278259277344 0.0016741919899451222 0.1020595891316232 4.7305217535626524e-05 0.9446666496140617 0.8399983048439026
9        0.8166582435369492 0.8353432739774387 0.9658820629119873 0.9069887921800763 0.028620934691922395 0.04611706733703613 0.9138472735881805 0.9447661314094593 0.8558950126171112 0.9504958907973333 0.8558950126171112 0.9908950005968412 0.9892120659351349 0.5057592689990997 0.0048860907554626465 0.0036042235930960286 0.08772890308762568 0.00023852559530654563 0.928743863105774 0.8048318028450012
