setting,Accuracy_Overall,F1_Overall,Precision_Overall,Recall_Overall,"Accuracy_intake, assessment, and diagnosis","F1_intake, assessment, and diagnosis","Precision_intake, assessment, and diagnosis","Recall_intake, assessment, and diagnosis",Accuracy_treatment planning,F1_treatment planning,Precision_treatment planning,Recall_treatment planning,Accuracy_counseling skills and interventions,F1_counseling skills and interventions,Precision_counseling skills and interventions,Recall_counseling skills and interventions,Accuracy_professional practice and ethics,F1_professional practice and ethics,Precision_professional practice and ethics,Recall_professional practice and ethics,Accuracy_core counseling attributes,F1_core counseling attributes,Precision_core counseling attributes,Recall_core counseling attributes
Asclepius-13B_few-shot_sc_1,0.23560000000000006,0.10577934032256035,0.15715811200255814,0.24683126428239227,0.2612,0.1196593856959217,0.2059568823076755,0.24598809004694144,0.23980000000000004,0.11725211022850802,0.2562625774712244,0.25813737392989855,0.23859999999999998,0.10620339583377517,0.128331644616701,0.25126394932065893,0.21970000000000003,0.0950400992480186,0.12306293991948211,0.24496336502594965,0.16809999999999994,0.07155818517687124,0.042024999999999986,
medalpaca-7b_few-shot_None_1,,,,,,,,,,,,,,,,,,,,,,,,
Llama-2-13b-hf_few-shot_None_1,0.39050000000000007,0.31436957326584536,0.33235955968332803,0.31211468813294657,0.3965000000000001,0.32271398514786037,0.33573063150336024,0.3222458441604152,0.3889,0.31484676384756666,0.325317992093807,0.31493787017736613,0.3436,0.2779619112203981,0.29889420381127385,0.27793359087675173,0.38880000000000003,0.30758430259567615,0.3227316883747692,0.3043939215811893,0.5187999999999999,0.3455661027849818,0.3411434823336508,0.3709857375850269
Asclepius-13B_few-shot_sc_3,0.3813,0.37249856981168855,0.40248669991988995,0.38332837276801085,0.35609999999999997,0.3501201761822491,0.38760166811546326,0.36996320275364786,0.36,0.3572340951971259,0.4063484191027705,0.36587384044000865,0.3702,0.3614700383298811,0.3781505141646473,0.36972817355415666,0.40930000000000005,0.4021859702165954,0.4274242749472725,0.41439813055424035,0.44060000000000005,0.3513083620360842,0.33372626729905286,0.3997594664260831
BioMedGPT-LM-7B_few-shot-cot_None_3,0.09589999999999999,0.09539867347731162,0.21259000609405512,0.0778536495512034,0.0973,0.09502476164120868,0.20062752193944391,0.07577005398706622,0.0873,0.08691047309790101,0.22355035714642296,0.07289792382676027,0.11490000000000002,0.11470605530996797,0.2659651911030949,0.09483181308991612,0.07900000000000001,0.08235988406447764,0.22306171829047255,0.06668381138879989,0.1353,0.13585999716101635,0.24333113904812267,0.11768160351008836
Llama3-Med42-8B_few-shot_sc_1,0.6386,0.6318453346700551,0.6401774137173559,0.6356035161152617,0.6496999999999999,0.6385963357873934,0.6457944334743517,0.6435561959165761,0.6426999999999999,0.634854476942167,0.6456077996257059,0.6402062049754401,0.6416000000000001,0.637079477974683,0.6470945825161594,0.6416233012835246,0.6190000000000001,0.6067744940348032,0.6161001039706607,0.6119142024762924,0.5242000000000001,0.4901414473875011,0.5076919441209973,0.504810559240104
Meta-Llama-3-8B-Instruct_few-shot_sc_1,0.6550999999999999,0.6483568282741841,0.6556890814200912,0.6523262638004599,0.6413000000000001,0.6317272566886191,0.6386295771012425,0.6356773545043519,0.6328,0.6240909153894658,0.6296199247353094,0.6305934919620166,0.6617999999999999,0.6564628054345389,0.668798505970204,0.661405286293831,0.6387999999999999,0.6302311988936226,0.6350237356623853,0.6337686183996609,0.6088999999999999,0.5466449193614462,0.5807911879442481,0.555838720053508
Mistral-7B-Instruct-v0.3_few-shot-cot_None_1,0.5530000000000002,0.5362021455803347,0.5455165135034563,0.5437350012296368,0.5649000000000001,0.5139619777072995,0.5239122571262638,0.5190381586503235,0.5482,0.5415266707275997,0.5542285192208956,0.5463823337948022,0.5416000000000001,0.5355602414311182,0.5434628230103561,0.5433193377500508,0.5515,0.5452120433377692,0.5542408189479835,0.5510231474326249,0.5178999999999999,0.5167684979168377,0.5417181554398773,0.543887980744304
BioMedGPT-LM-7B_few-shot_None_3,0.3839000000000001,0.3746408422859421,0.38779339385202577,0.3804472815596526,0.3987,0.38431015158936754,0.40602185612152736,0.39369313001226475,0.37589999999999996,0.3632410572511005,0.37640199527671664,0.3694992249271696,0.3754,0.3666334769550662,0.38357554077669515,0.3774232123057191,0.35540000000000005,0.35216761866944074,0.36132334870532673,0.35427917834983796,0.5381,0.5300851598262429,0.5664931695586157,0.5719138307479704
Llama3-Med42-70B_few-shot_None_5,0.23840000000000003,0.09577919490239176,0.05960000000000001,,0.21650000000000003,0.0886062552976209,0.054125000000000006,,0.2243,0.09119339904225936,0.056075,,0.2518,0.1001578326570602,0.06295,,0.24370000000000008,0.09753500197864662,0.06092500000000002,,0.3924,0.14041826663726753,0.0981,
MentaLLaMA-chat-13B_zero-shot_None_0,0.461,0.4361571620403476,0.4863356786373313,0.4568537307719663,0.4754999999999999,0.4543419684655167,0.5310086812691434,0.483897238978948,0.48960000000000004,0.46992674825076636,0.5309116275559862,0.487838295601815,0.4319999999999999,0.4016678409892544,0.44414858175784616,0.4238032016256668,0.4381999999999999,0.4174359013199306,0.46515686183013266,0.4330061487967032,0.5649000000000001,0.5342580306213606,0.6600260842967444,0.5531329175375959
Llama3-Med42-8B_few-shot_sc_5,0.23280000000000003,0.10215035299891154,0.12330131773698344,0.25213824663769985,0.22089999999999999,0.09624877983836413,0.10695097923268028,0.2509575644277907,0.21400000000000005,0.09365627846871924,0.09659437584636939,0.24406689303060944,0.2686,0.1167601471818211,0.1557165038725236,0.2569432880312821,0.23680000000000004,0.09521382962141686,0.059432168625025775,0.24574076985596235,0.3942,0.14073949441661518,0.09855,
BioMedGPT-LM-7B_few-shot_sc_3,0.4356999999999999,0.41955933599480244,0.4471719759452973,0.428833743914671,0.4465,0.4219922563469386,0.4486840866727104,0.43574447188301396,0.4616,0.43317323282640935,0.46573731052265066,0.4446092894762368,0.4202,0.4126880934907043,0.45449990389611117,0.42327616608378826,0.4263,0.40629170550842564,0.4265075895522208,0.414471733325276,0.4796,0.457096862895684,0.5595842753573208,0.4770562363488984
meditron-70b_few-shot-cot_None_1,0.21530000000000002,0.08092269864426095,0.1145592526013586,0.179354445110907,0.2485,0.0887649707239644,0.11984590543846449,0.19281806953709246,0.2125,0.09021916885410987,0.18989989612149025,0.18601872860679422,0.2151,0.08229485101967735,0.13976935960891917,0.18046460292001998,0.17219999999999996,0.0633393731254376,0.039969751068387224,0.15786758813572757,0.1785,0.09730257298258918,0.23244990203939636,0.17541980481551164
Asclepius-7B_few-shot-cot_None_3,,,,,,,,,,,,,,,,,,,,,,,,
med42-70b_few-shot_None_3,0.5765,0.4984764050162822,0.555975169334531,0.4595821566458482,0.6408999999999999,0.5240349901079112,0.5596602879498507,0.5055852819961767,0.5139999999999999,0.46279427733147044,0.5438981428457492,0.41029187427881475,0.5352,0.47118779334131466,0.5412028794141406,0.42697442957542864,0.5706,0.4945054454634908,0.5599829092946785,0.45200228429762107,0.39089999999999997,0.3295328571118158,0.4624137327592678,0.2797342618175036
Llama3-Med42-8B_few-shot_None_5,0.24580000000000002,0.15773159586665306,0.12308892591341092,0.25273742561761814,0.22369999999999998,0.14781208892500927,0.11133655959167726,0.2480443251516871,0.2603,0.16742459512293104,0.13083608015719045,0.2784132082672195,0.2828,0.17798257556143188,0.14447418028363754,0.2637782404133441,0.20800000000000002,0.12845405234035717,0.09877959906542463,0.21182977349556187,0.4392999999999999,0.24590751162405297,0.20319556300384253,0.32536619102987885
ClinicalCamel-70B_few-shot-cot_None_3,0.40049999999999997,0.35381075411947327,0.4097586722880864,0.36124845841068165,0.4012,0.3753448274344437,0.45245559298957366,0.3843767702109766,0.3742000000000001,0.32653451086161966,0.37822709511890445,0.33911418131512155,0.4010999999999999,0.35331905665043417,0.3962332012370106,0.35961460091065756,0.4025,0.3369782445931364,0.3803256448591513,0.34420784472887567,0.34980000000000006,0.31521520207518744,0.3210188244746634,0.32748920596121833
Llama3-Med42-70B_few-shot_sc_1,0.6953,0.6902005106046611,0.6972619252374378,0.6941400065098092,0.6953,0.6880217853720886,0.6931660113527823,0.6924192245240743,0.7136999999999999,0.7041638267084399,0.7158754456968598,0.70864829943507,0.6939,0.6889625108585621,0.697354238588038,0.6951780769239961,0.6679999999999999,0.658510839095796,0.6683141314722957,0.6628947735957691,0.6509,0.6221917963253177,0.6267358239838368,0.6362090570368053
Llama-2-70b-hf_few-shot_None_1,0.5567,0.4512804074456709,0.46683571211281644,0.44507429921840613,0.5759,0.4766336337720249,0.4878262307876352,0.47603395317941527,0.5686000000000001,0.4611474611719125,0.4797897476461792,0.459627551808666,0.5209000000000001,0.42103002190687916,0.43872142848210516,0.4152879518128698,0.5925,0.4813380400499438,0.5002842324828002,0.4732003581135901,0.5553,0.4524179125049004,0.5080796066584504,0.44273723163698714
