setting,Accuracy_Overall,F1_Overall,Precision_Overall,Recall_Overall,"Accuracy_intake, assessment, and diagnosis","F1_intake, assessment, and diagnosis","Precision_intake, assessment, and diagnosis","Recall_intake, assessment, and diagnosis",Accuracy_treatment planning,F1_treatment planning,Precision_treatment planning,Recall_treatment planning,Accuracy_counseling skills and interventions,F1_counseling skills and interventions,Precision_counseling skills and interventions,Recall_counseling skills and interventions,Accuracy_professional practice and ethics,F1_professional practice and ethics,Precision_professional practice and ethics,Recall_professional practice and ethics,Accuracy_core counseling attributes,F1_core counseling attributes,Precision_core counseling attributes,Recall_core counseling attributes,model_name
ClinicalCamel-70B_zero-shot_None_0,0.6178,0.612035772708428,0.6196871867451373,0.6175509775283985,0.6686999999999999,0.6594708805654341,0.6653231126264417,0.6633289536680786,0.6214999999999999,0.6142198253911231,0.6270606946881528,0.6233966830114486,0.5992000000000001,0.5907116951013262,0.6009082527942756,0.5949105917763512,0.5954,0.5896346807736877,0.5953594559147157,0.5978040250712156,0.5695,0.5740636838702025,0.5906874805443708,0.60408574204564,ClinicalCamel-70B
Llama-2-70b-chat-hf_zero-shot_None_0,0.6185,0.6085249699279711,0.6189682003936522,0.6144488730535618,0.6467999999999999,0.6343246431544383,0.6396890471525142,0.6406049080104649,0.6274000000000001,0.6120504536246762,0.6255791453320074,0.6202684847224631,0.5984999999999999,0.587782867650035,0.609354836763941,0.5989239830842167,0.6228000000000001,0.6155954391668012,0.6254953308213073,0.6191135156683888,0.429,0.41494946458618,0.4419314288404227,0.441309402970357,Llama-2-70b-chat-hf
Llama3-Med42-70B_zero-shot_None_0,0.6819999999999999,0.6405500053771367,0.6491132308448003,0.6433163602234718,0.7053,0.6432225482439251,0.6492255068701457,0.646159628174833,0.7073999999999999,0.6624058605270803,0.6764081617060472,0.664132666878621,0.6701,0.6407688259144563,0.6532542195672463,0.6475476199356249,0.6679999999999999,0.6606638174986156,0.6692888729193273,0.6638443035431948,0.5589000000000001,0.5130758042314789,0.518515942263052,0.5243649675629225,Llama3-Med42-70B
Llama3-Med42-8B_zero-shot_None_0,0.6315,0.6253418067733199,0.6313359271387329,0.6295302566114456,0.6232000000000001,0.6135612880361825,0.6214855405859181,0.6185069487475081,0.6214,0.6112073906105361,0.6177217258029671,0.6164759189136008,0.6496999999999998,0.6442758817382827,0.6495183143065184,0.6502596372833545,0.6308999999999999,0.6160517309479688,0.6255776899762773,0.6215497859512967,0.5541000000000001,0.5113106949528344,0.555725705378612,0.5173803344061096,Llama3-Med42-8B
Llama3-OpenBioLLM-70B_zero-shot_None_0,0.6947,0.6894386895284689,0.6970204372474451,0.6942157509538174,0.7044999999999998,0.6963598191178871,0.7025582315776773,0.7016702304731435,0.7047,0.699248831153225,0.7079782039786143,0.7024723661808231,0.6972000000000003,0.6909704837569127,0.698209136546875,0.695507217327216,0.6919,0.6857659187367895,0.6915321820712337,0.6910699014628914,0.5605,0.5518204059371246,0.6115936624646787,0.5559774982670146,Llama3-OpenBioLLM-70B
Meta-Llama-3-70B-Instruct_zero-shot_None_0,0.7212,0.7093044041655283,0.7166984571823681,0.7133895691746746,0.7353000000000001,0.7291247751037992,0.7338123937059415,0.7330305093810836,0.6934999999999998,0.6320068714004671,0.643322405203497,0.6346478345615189,0.7397999999999999,0.7326360582136718,0.7422617198449574,0.7382633044230257,0.6898000000000001,0.6825132630637427,0.6911090250546187,0.6848552613086529,0.6457,0.6297563537463661,0.6330574628201415,0.6486902634173165,Meta-Llama-3-70B-Instruct
Meta-Llama-3-8B-Instruct_zero-shot_None_0,0.6259,0.6203068840588891,0.6273731446681061,0.6261660712740716,0.6399999999999999,0.6301948137445608,0.6345238319143829,0.6341725465126119,0.6088000000000001,0.5990103848574094,0.6114398731287296,0.6055347747014846,0.6484000000000001,0.6415324414991203,0.6524984476821735,0.6453989198588752,0.5764,0.5684550854853119,0.579039497422156,0.571641269507243,0.6080000000000001,0.5493344058280124,0.5858643095745534,0.5575458401361779,Meta-Llama-3-8B-Instruct
counselingQA-gpt4o_zero-shot_None_0,0.7724,0.7676134166121246,0.7722887026203773,0.7701326633436207,0.8026000000000001,0.797047764607474,0.8017492791527628,0.7995459716872523,0.7606,0.752616401337433,0.7592154274819686,0.7552370509120876,0.7701999999999998,0.7655662863192834,0.7694086259628498,0.7706379245423344,0.7541,0.7478050478093757,0.7507631864563724,0.7531176060329411,0.6069,0.613380876391579,0.6647886142150751,0.6435236223249327,counselingQA-gpt4o
med42-70b_zero-shot_None_0,0.6804000000000002,0.6751760747200417,0.6816553871042318,0.6797177599290133,0.6674000000000001,0.6561869341778401,0.669061518109359,0.6586400176028121,0.695,0.689076501366669,0.6962863495306978,0.6921781395503647,0.7001,0.6933540397937047,0.7010186888293596,0.6990407697315654,0.6842999999999999,0.6785438504359081,0.6873431280410729,0.6826574817294442,0.5256000000000001,0.5242530825701602,0.5521334956548718,0.5726459425498369,med42-70b
ClinicalCamel-70B_zero-shot_sc_0,0.6684000000000002,0.6633189092394046,0.670603178661752,0.6670935288566858,0.7178,0.7091426354238988,0.7134097074570751,0.7125144944061599,0.6436999999999999,0.6327284118773603,0.6490792364262754,0.6434529141774243,0.6369,0.6293237028003381,0.6368693748844213,0.6331018943012208,0.6797,0.6752617308279782,0.6796980143451045,0.6826680359824532,0.6448,0.6421897205443993,0.6443138946012571,0.6862152452545822,ClinicalCamel-70B
